"Utility Type","Utility Name","Year","Ag & Water Pump","Commercial Building","Commercial Other","Industry","Mining & Construction","Residential","Streetlight","Total Usage"
"Investor owned utility","Avista Energy","1990","       0.000000","      14.310562","       0.088855","       0.077131","       0.018470","       8.875343","       0.000000","      23.370361"
"Investor owned utility","Bear Valley Electric Service","1990","       0.075805","      34.275928","       3.007874","       0.000000","       0.000000","      52.580684","       0.226513","      90.166804"
"Investor owned utility","Bear Valley Electric Service","1991","       0.000000","      15.863337","       2.414612","       0.000000","       0.000000","      51.900996","       0.273375","      70.452320"
"Investor owned utility","Bear Valley Electric Service","1992","       0.000000","      16.074285","       2.822030","       0.000000","       0.000000","      54.833849","       0.266553","      73.996717"
"Investor owned utility","Bear Valley Electric Service","1993","       0.000000","      17.155624","       3.938751","       0.000000","       0.000000","      54.368234","       0.250121","      75.712730"
"Investor owned utility","Bear Valley Electric Service","1994","       0.000000","      16.380289","       3.189661","       0.000000","       0.000000","      58.127716","       0.232099","      77.929765"
"Investor owned utility","Bear Valley Electric Service","1995","       0.000000","      14.739374","       4.046613","       0.000000","       0.000000","      59.121844","       0.219650","      78.127481"
"Investor owned utility","Bear Valley Electric Service","1996","       0.000000","      20.477228","       3.538846","       0.000000","       0.000000","      60.649787","       0.220296","      84.886157"
"Investor owned utility","Bear Valley Electric Service","1997","       0.000000","      16.433449","       3.085576","       0.000000","       0.000000","      61.201294","       0.220147","      80.940466"
"Investor owned utility","Bear Valley Electric Service","1998","       0.000000","      18.439274","       3.944383","       0.000000","       0.000000","      64.921510","       0.221149","      87.526316"
"Investor owned utility","Bear Valley Electric Service","1999","       0.000000","      20.672400","       3.306896","       0.000000","       0.000000","      64.886006","       0.224102","      89.089404"
"Investor owned utility","Bear Valley Electric Service","2000","       0.000000","      22.510000","       3.790000","       0.000000","       0.000000","      69.310000","       0.220000","      95.830000"
"Investor owned utility","Bear Valley Electric Service","2001","       0.000000","      18.570000","       3.360000","       0.000000","       0.000000","      66.510000","       0.220000","      88.660000"
"Investor owned utility","Bear Valley Electric Service","2002","       0.000000","      18.690000","       2.190000","       0.000000","       0.000000","      69.910000","       0.210000","      91.000000"
"Investor owned utility","Bear Valley Electric Service","2003","       0.000000","      23.370000","       1.510000","       0.000000","       0.000000","      69.490000","       0.210000","      94.580000"
"Investor owned utility","Bear Valley Electric Service","2004","       0.000000","      56.620000","       7.060000","       0.000000","       0.000000","      74.150000","       0.210000","     138.040000"
