Year,Month,Consumption,State
2001,1,124998.0,Alaska
2001,2,119951.0,Alaska
2001,3,164922.0,Alaska
2001,4,139999.0,Alaska
2001,5,135941.0,Alaska
2001,6,109335.0,Alaska
2001,7,118399.0,Alaska
2001,8,125520.0,Alaska
2001,9,131021.0,Alaska
2001,10,167824.0,Alaska
2001,11,176577.0,Alaska
2001,12,185692.0,Alaska
2002,1,196897.0,Alaska
2002,2,174584.0,Alaska
2002,3,179814.0,Alaska
2002,4,126250.0,Alaska
2002,5,130112.0,Alaska
2002,6,181551.0,Alaska
2002,7,123628.0,Alaska
2002,8,119938.0,Alaska
2002,9,129011.0,Alaska
2002,10,136729.0,Alaska
2002,11,123186.0,Alaska
2002,12,138196.0,Alaska
2003,1,138140.0,Alaska
2003,2,123204.0,Alaska
2003,3,113223.0,Alaska
2003,4,112471.0,Alaska
2003,5,110264.0,Alaska
2003,6,110352.0,Alaska
2003,7,130014.0,Alaska
2003,8,121630.0,Alaska
2003,9,129024.0,Alaska
2003,10,146033.0,Alaska
2003,11,137780.0,Alaska
2003,12,182573.0,Alaska
2004,1,162943.65,Alaska
2004,2,140205.78,Alaska
2004,3,129536.92,Alaska
2004,4,100427.05,Alaska
2004,5,98340.24,Alaska
2004,6,93911.19,Alaska
2004,7,128960.86,Alaska
2004,8,125807.79,Alaska
2004,9,112640.01,Alaska
2004,10,106980.96,Alaska
2004,11,89149.79,Alaska
2004,12,101222.23,Alaska
2005,1,186152.05,Alaska
2005,2,103212.55,Alaska
2005,3,95768.33,Alaska
2005,4,93900.27,Alaska
2005,5,101249.14,Alaska
2005,6,116697.18,Alaska
2005,7,110033.55,Alaska
2005,8,120477.18,Alaska
2005,9,98552.13,Alaska
2005,10,115674.65,Alaska
2005,11,120231.47,Alaska
2005,12,153995.6,Alaska
2006,1,159670.31,Alaska
2006,2,112909.26,Alaska
2006,3,119823.98,Alaska
2006,4,119167.27,Alaska
2006,5,111412.71,Alaska
2006,6,111966.54,Alaska
2006,7,131044.08,Alaska
2006,8,142051.71,Alaska
2006,9,96670.02,Alaska
2006,10,103590.91,Alaska
2006,11,126917.78,Alaska
2006,12,112528.51,Alaska
2007,1,131715.0,Alaska
2007,2,103282.0,Alaska
2007,3,199550.0,Alaska
2007,4,121180.0,Alaska
2007,5,108071.0,Alaska
2007,6,122521.0,Alaska
2007,7,155763.0,Alaska
2007,8,196889.0,Alaska
2007,9,159358.0,Alaska
2007,10,188192.0,Alaska
2007,11,165836.0,Alaska
2007,12,195601.0,Alaska
2001,1,284241.0,Alabama
2001,2,86653.0,Alabama
2001,3,80917.0,Alabama
2001,4,168367.0,Alabama
2001,5,86187.0,Alabama
2001,6,40885.0,Alabama
2001,7,39283.0,Alabama
2001,8,34236.0,Alabama
2001,9,29856.0,Alabama
2001,10,33788.0,Alabama
2001,11,31227.0,Alabama
2001,12,56858.0,Alabama
2002,1,129591.0,Alabama
2002,2,55959.0,Alabama
2002,3,54123.0,Alabama
2002,4,39820.0,Alabama
2002,5,77189.0,Alabama
2002,6,35128.0,Alabama
2002,7,32398.0,Alabama
2002,8,31394.0,Alabama
2002,9,31181.0,Alabama
2002,10,57010.0,Alabama
2002,11,40481.0,Alabama
2002,12,57460.0,Alabama
2003,1,119521.0,Alabama
2003,2,31480.0,Alabama
2003,3,52047.0,Alabama
2003,4,52489.0,Alabama
2003,5,123262.0,Alabama
2003,6,97423.0,Alabama
2003,7,26520.0,Alabama
2003,8,44906.0,Alabama
2003,9,38949.0,Alabama
2003,10,42910.0,Alabama
2003,11,27611.0,Alabama
2003,12,56204.0,Alabama
2004,1,45633.58,Alabama
2004,2,22854.24,Alabama
2004,3,21891.27,Alabama
2004,4,30465.78,Alabama
2004,5,33476.33,Alabama
2004,6,35568.17,Alabama
2004,7,41185.77,Alabama
2004,8,27832.51,Alabama
2004,9,29864.31,Alabama
2004,10,32577.36,Alabama
2004,11,42278.54,Alabama
2004,12,50369.21,Alabama
2005,1,76733.44,Alabama
2005,2,27221.15,Alabama
2005,3,21776.02,Alabama
2005,4,32931.6,Alabama
2005,5,26324.22,Alabama
2005,6,30678.97,Alabama
2005,7,32612.29,Alabama
2005,8,34820.77,Alabama
2005,9,38225.16,Alabama
2005,10,28402.59,Alabama
2005,11,33019.49,Alabama
2005,12,81196.91,Alabama
