Year,Month,State,TAVG,Population,Consumption
2001,1,Alabama,41.736000000000004,4467634,64497509.0
2001,2,Alabama,52.996,4467634,55262245.0
2001,3,Alabama,52.004,4467634,57230386.0
2001,4,Alabama,64.964,4467634,48047333.0
2001,5,Alabama,71.092,4467634,60217334.0
2001,6,Alabama,76.108,4467634,65638779.0
2001,7,Alabama,79.78399999999999,4467634,74437886.0
2001,8,Alabama,78.77600000000001,4467634,76794930.0
2001,9,Alabama,72.408,4467634,65444284.0
2001,10,Alabama,61.644,4467634,63290409.0
2001,11,Alabama,59.82,4467634,57247127.0
2001,12,Alabama,51.788,4467634,56532428.0
2002,1,Alabama,47.392,4480089,59567525.0
2002,2,Alabama,46.144,4480089,51140054.0
2002,3,Alabama,55.06399999999999,4480089,49316403.0
2002,4,Alabama,66.44800000000001,4480089,52601689.0
2002,5,Alabama,70.93599999999998,4480089,58460280.0
2002,6,Alabama,77.54,4480089,73905311.0
2002,7,Alabama,80.572,4480089,83023323.0
2002,8,Alabama,80.0,4480089,82217188.0
2002,9,Alabama,77.66,4480089,73960209.0
2002,10,Alabama,68.93599999999999,4480089,68346068.0
2002,11,Alabama,51.392,4480089,63037777.0
2002,12,Alabama,45.668,4480089,62086297.0
2003,1,Alabama,40.548,4503491,68134106.0
2003,2,Alabama,48.136,4503491,57669736.0
2003,3,Alabama,57.832,4503491,54753897.0
2003,4,Alabama,63.571999999999996,4503491,53132570.0
2003,5,Alabama,71.56,4503491,61766019.0
2003,6,Alabama,76.268,4503491,73179046.0
2003,7,Alabama,78.584,4503491,80259634.0
2003,8,Alabama,79.676,4503491,85787997.0
2003,9,Alabama,73.43599999999998,4503491,70099665.0
2003,10,Alabama,64.096,4503491,60253603.0
2003,11,Alabama,58.4,4503491,59259200.0
2003,12,Alabama,44.316,4503491,62259718.0
2004,1,Alabama,43.78,4530729,62410925.0
2004,2,Alabama,45.548,4530729,55517540.0
2004,3,Alabama,58.93600000000001,4530729,57015436.0
2004,4,Alabama,61.08,4530729,51999670.0
2004,5,Alabama,72.71600000000001,4530729,70088597.0
2004,6,Alabama,76.884,4530729,75116013.0
2004,7,Alabama,78.968,4530729,85770878.0
2004,8,Alabama,76.05199999999999,4530729,80140424.0
2004,9,Alabama,73.792,4530729,65937095.0
2004,10,Alabama,68.36,4530729,67769128.0
2004,11,Alabama,57.62,4530729,60902284.0
2004,12,Alabama,45.004,4530729,65749682.0
2005,1,Alabama,49.056000000000004,4569805,68848532.0
2005,2,Alabama,50.644,4569805,56556535.0
2005,3,Alabama,53.084,4569805,63991404.0
2005,4,Alabama,61.008,4569805,53524731.0
2005,5,Alabama,68.476,4569805,62247136.0
2005,6,Alabama,76.44,4569805,73967159.0
2005,7,Alabama,80.456,4569805,80280557.0
2005,8,Alabama,80.524,4569805,84792533.0
2005,9,Alabama,77.204,4569805,73965616.0
2005,10,Alabama,63.76,4569805,65586776.0
2005,11,Alabama,55.972,4569805,63903421.0
2005,12,Alabama,43.20399999999999,4569805,72699554.0
2006,1,Alabama,51.0,4628981,57939420.0
2006,2,Alabama,45.32,4628981,56800616.0
2006,3,Alabama,55.784,4628981,61256873.0
2006,4,Alabama,67.584,4628981,62173892.0
2006,5,Alabama,70.36,4628981,72779706.0
2006,6,Alabama,78.22800000000001,4628981,82828556.0
2006,7,Alabama,81.86,4628981,90302604.0
2006,8,Alabama,82.324,4628981,94352567.0
2006,9,Alabama,73.092,4628981,73744714.0
2006,10,Alabama,62.152,4628981,70001999.0
2006,11,Alabama,53.244,4628981,67448824.0
2006,12,Alabama,49.251999999999995,4628981,72504191.0
2007,1,Alabama,46.652,4672840,65729388.0
2007,2,Alabama,44.416000000000004,4672840,68997571.0
2007,3,Alabama,59.768,4672840,66261689.0
2007,4,Alabama,60.036,4672840,71024961.0
2007,5,Alabama,71.176,4672840,75910585.0
2007,6,Alabama,78.74,4672840,83189411.0
2007,7,Alabama,79.08800000000001,4672840,87391835.0
2007,8,Alabama,84.384,4672840,97637231.0
2007,9,Alabama,76.34,4672840,78117412.0
2007,10,Alabama,67.22,4672840,69613838.0
2007,11,Alabama,54.812,4672840,62963709.0
2007,12,Alabama,52.163999999999994,4672840,68034048.0
2001,1,Alaska,21.092,633714,5692772.0
2001,2,Alaska,16.676,633714,5636304.0
2001,3,Alaska,19.892,633714,6053513.0
2001,4,Alaska,32.844,633714,4756546.0
2001,5,Alaska,41.588,633714,4656045.0
2001,6,Alaska,56.536,633714,4652935.0
2001,7,Alaska,56.52,633714,5421956.0
2001,8,Alaska,55.396,633714,6116048.0
2001,9,Alaska,46.848,633714,5638576.0
2001,10,Alaska,26.872,633714,5619163.0
2001,11,Alaska,15.452,633714,5454049.0
2001,12,Alaska,6.42,633714,5818297.0
2002,1,Alaska,15.936,642337,5634419.0
2002,2,Alaska,15.504000000000001,642337,4885400.0
2002,3,Alaska,18.404,642337,5409340.0
2002,4,Alaska,26.304000000000002,642337,4847673.0
2002,5,Alaska,46.02,642337,4847369.0
2002,6,Alaska,53.516000000000005,642337,4936276.0
2002,7,Alaska,57.192,642337,5195112.0
2002,8,Alaska,53.956,642337,4918204.0
2002,9,Alaska,47.228,642337,5160189.0
2002,10,Alaska,36.908,642337,5481833.0
2002,11,Alaska,28.804000000000002,642337,5008811.0
2002,12,Alaska,17.98,642337,5776268.0
2003,1,Alaska,14.672,648414,5444913.0
2003,2,Alaska,25.52,648414,4832695.0
2003,3,Alaska,19.428,648414,4729977.0
2003,4,Alaska,34.132,648414,4262689.0
2003,5,Alaska,45.056000000000004,648414,4251621.0
2003,6,Alaska,54.644,648414,4311782.0
2003,7,Alaska,58.536,648414,4443105.0
2003,8,Alaska,55.468,648414,4218510.0
2003,9,Alaska,44.632,648414,4496153.0
2003,10,Alaska,36.928000000000004,648414,4902345.0
2003,11,Alaska,16.836,648414,5010701.0
2003,12,Alaska,13.144,648414,5784900.0
2004,1,Alaska,0.7919999999999999,659286,5732974.0
2004,2,Alaska,21.052,659286,5150972.0
2004,3,Alaska,20.144000000000002,659286,4561733.0
2004,4,Alaska,36.492,659286,4141413.0
2004,5,Alaska,49.44,659286,4588955.0
2004,6,Alaska,59.776,659286,4876003.0
2004,7,Alaska,60.38399999999999,659286,5013653.0
2004,8,Alaska,59.676,659286,4723652.0
2004,9,Alaska,41.588,659286,4629520.0
2004,10,Alaska,35.52,659286,4368042.0
2004,11,Alaska,18.596,659286,4521472.0
2004,12,Alaska,14.672,659286,5449208.0
2005,1,Alaska,10.436,666946,5535880.0
2005,2,Alaska,15.6,666946,4525985.0
2005,3,Alaska,29.0,666946,4664407.0
2005,4,Alaska,35.94,666946,4234684.0
2005,5,Alaska,50.288,666946,4282949.0
2005,6,Alaska,56.692,666946,4586617.0
2005,7,Alaska,58.636,666946,5313830.0
2005,8,Alaska,55.663999999999994,666946,5659105.0
2005,9,Alaska,47.696000000000005,666946,4719983.0
2005,10,Alaska,33.024,666946,5170801.0
2005,11,Alaska,13.56,666946,5123629.0
2005,12,Alaska,20.48,666946,5711218.0
2006,1,Alaska,3.484,675302,5825819.0
2006,2,Alaska,16.451999999999998,675302,5017095.0
2006,3,Alaska,16.248,675302,5240868.0
2006,4,Alaska,32.391999999999996,675302,4803625.0
2006,5,Alaska,46.284,675302,4883829.0
2006,6,Alaska,54.048,675302,5114871.0
2006,7,Alaska,56.856,675302,5626377.0
2006,8,Alaska,52.644,675302,5604070.0
2006,9,Alaska,47.712,675302,4741678.0
2006,10,Alaska,35.724000000000004,675302,5214411.0
2006,11,Alaska,6.528,675302,5658094.0
2006,12,Alaska,16.392,675302,5724207.0
2007,1,Alaska,11.304,680300,5673988.0
2007,2,Alaska,10.5,680300,4809507.0
2007,3,Alaska,8.54,680300,5785564.0
2007,4,Alaska,36.448,680300,4908216.0
2007,5,Alaska,45.88399999999999,680300,4758955.0
2007,6,Alaska,55.04,680300,4602707.0
2007,7,Alaska,57.74,680300,4911845.0
2007,8,Alaska,56.152,680300,5118938.0
2007,9,Alaska,46.676,680300,5421399.0
2007,10,Alaska,29.904,680300,5933341.0
2007,11,Alaska,24.664,680300,5826182.0
2007,12,Alaska,14.12,680300,5626813.0
2001,1,Arizona,43.772,5273477,42133042.0
2001,2,Arizona,46.816,5273477,39434350.0
2001,3,Arizona,54.108000000000004,5273477,39539664.0
2001,4,Arizona,60.54,5273477,46003983.0
2001,5,Arizona,73.952,5273477,49946624.0
2001,6,Arizona,79.2,5273477,46052915.0
2001,7,Arizona,81.85600000000001,5273477,48454617.0
2001,8,Arizona,81.64,5273477,47067696.0
2001,9,Arizona,77.544,5273477,41561429.0
2001,10,Arizona,66.844,5273477,44182414.0
2001,11,Arizona,56.08,5273477,37575836.0
2001,12,Arizona,43.696000000000005,5273477,39561481.0
2002,1,Arizona,45.456,5396255,38152231.0
2002,2,Arizona,50.79600000000001,5396255,34185316.0
2002,3,Arizona,53.596000000000004,5396255,37766534.0
2002,4,Arizona,64.468,5396255,37831471.0
2002,5,Arizona,69.164,5396255,40758451.0
2002,6,Arizona,80.044,5396255,43461871.0
2002,7,Arizona,83.324,5396255,52728224.0
2002,8,Arizona,81.42399999999999,5396255,49087269.0
2002,9,Arizona,76.22800000000001,5396255,47852522.0
2002,10,Arizona,63.656000000000006,5396255,45131108.0
2002,11,Arizona,55.376000000000005,5396255,45039818.0
2002,12,Arizona,44.488,5396255,46682048.0
2003,1,Arizona,51.808,5510364,40585334.0
2003,2,Arizona,48.94,5510364,36529175.0
2003,3,Arizona,53.988,5510364,37888865.0
2003,4,Arizona,58.412,5510364,36740289.0
2003,5,Arizona,70.188,5510364,38491076.0
2003,6,Arizona,78.488,5510364,44192648.0
2003,7,Arizona,85.304,5510364,60949682.0
2003,8,Arizona,81.956,5510364,60970622.0
