Year,Month,State,Consumption
2001,1,AK,124998.0
2001,2,AK,119951.0
2001,3,AK,164922.0
2001,4,AK,139999.0
2001,5,AK,135941.0
2001,6,AK,109335.0
2001,7,AK,118399.0
2001,8,AK,125520.0
2001,9,AK,131021.0
2001,10,AK,167824.0
2001,11,AK,176577.0
2001,12,AK,185692.0
2002,1,AK,196897.0
2002,2,AK,174584.0
2002,3,AK,179814.0
2002,4,AK,126250.0
2002,5,AK,130112.0
2002,6,AK,181551.0
2002,7,AK,123628.0
2002,8,AK,119938.0
2002,9,AK,129011.0
2002,10,AK,136729.0
2002,11,AK,123186.0
2002,12,AK,138196.0
2003,1,AK,138140.0
2003,2,AK,123204.0
2003,3,AK,113223.0
2003,4,AK,112471.0
2003,5,AK,110264.0
2003,6,AK,110352.0
2003,7,AK,130014.0
2003,8,AK,121630.0
2003,9,AK,129024.0
2003,10,AK,146033.0
2003,11,AK,137780.0
2003,12,AK,182573.0
2004,1,AK,162943.65
2004,2,AK,140205.78
2004,3,AK,129536.92
2004,4,AK,100427.05
2004,5,AK,98340.24
2004,6,AK,93911.19
2004,7,AK,128960.86
2004,8,AK,125807.79
2004,9,AK,112640.01
2004,10,AK,106980.96
2004,11,AK,89149.79
2004,12,AK,101222.23
2005,1,AK,186152.05
2005,2,AK,103212.55
2005,3,AK,95768.33
2005,4,AK,93900.27
2005,5,AK,101249.14
2005,6,AK,116697.18
2005,7,AK,110033.55
2005,8,AK,120477.18
2005,9,AK,98552.13
2005,10,AK,115674.65
2005,11,AK,120231.47
2005,12,AK,153995.6
2006,1,AK,159670.31
2006,2,AK,112909.26
2006,3,AK,119823.98
2006,4,AK,119167.27
2006,5,AK,111412.71
2006,6,AK,111966.54
2006,7,AK,131044.08
2006,8,AK,142051.71
2006,9,AK,96670.02
2006,10,AK,103590.91
2006,11,AK,126917.78
2006,12,AK,112528.51
2007,1,AK,131715.0
2007,2,AK,103282.0
2007,3,AK,199550.0
2007,4,AK,121180.0
2007,5,AK,108071.0
2007,6,AK,122521.0
2007,7,AK,155763.0
2007,8,AK,196889.0
2007,9,AK,159358.0
2007,10,AK,188192.0
2007,11,AK,165836.0
2007,12,AK,195601.0
2001,1,AL,284241.0
2001,2,AL,86653.0
2001,3,AL,80917.0
2001,4,AL,168367.0
2001,5,AL,86187.0
2001,6,AL,40885.0
2001,7,AL,39283.0
2001,8,AL,34236.0
2001,9,AL,29856.0
2001,10,AL,33788.0
2001,11,AL,31227.0
2001,12,AL,56858.0
2002,1,AL,129591.0
2002,2,AL,55959.0
2002,3,AL,54123.0
2002,4,AL,39820.0
2002,5,AL,77189.0
2002,6,AL,35128.0
2002,7,AL,32398.0
2002,8,AL,31394.0
2002,9,AL,31181.0
2002,10,AL,57010.0
2002,11,AL,40481.0
2002,12,AL,57460.0
2003,1,AL,119521.0
2003,2,AL,31480.0
2003,3,AL,52047.0
2003,4,AL,52489.0
2003,5,AL,123262.0
2003,6,AL,97423.0
2003,7,AL,26520.0
2003,8,AL,44906.0
2003,9,AL,38949.0
2003,10,AL,42910.0
2003,11,AL,27611.0
2003,12,AL,56204.0
2004,1,AL,45633.58
2004,2,AL,22854.24
2004,3,AL,21891.27
2004,4,AL,30465.78
2004,5,AL,33476.33
2004,6,AL,35568.17
2004,7,AL,41185.77
2004,8,AL,27832.51
2004,9,AL,29864.31
2004,10,AL,32577.36
2004,11,AL,42278.54
2004,12,AL,50369.21
2005,1,AL,76733.44
2005,2,AL,27221.15
2005,3,AL,21776.02
2005,4,AL,32931.6
2005,5,AL,26324.22
2005,6,AL,30678.97
2005,7,AL,32612.29
2005,8,AL,34820.77
2005,9,AL,38225.16
2005,10,AL,28402.59
2005,11,AL,33019.49
2005,12,AL,81196.91
2006,1,AL,35127.22
2006,2,AL,27897.52
2006,3,AL,22736.06
2006,4,AL,26612.0
2006,5,AL,21168.45
2006,6,AL,16940.0
2006,7,AL,18781.29
2006,8,AL,19956.28
2006,9,AL,10985.5
2006,10,AL,20798.43
2006,11,AL,23841.68
2006,12,AL,31456.73
2007,1,AL,22284.0
2007,2,AL,26439.0
2007,3,AL,21846.0
2007,4,AL,20307.0
2007,5,AL,28754.0
2007,6,AL,26122.0
2007,7,AL,14589.0
2007,8,AL,17764.0
2007,9,AL,11086.0
2007,10,AL,13051.0
2007,11,AL,11704.0
2007,12,AL,22695.0
2001,1,AR,209194.0
2001,2,AR,93610.0
2001,3,AR,101934.0
2001,4,AR,89573.0
2001,5,AR,88189.0
2001,6,AR,83827.0
2001,7,AR,86935.0
2001,8,AR,205113.0
2001,9,AR,104541.0
2001,10,AR,8894.0
2001,11,AR,10916.0
2001,12,AR,398982.0
2002,1,AR,47590.0
2002,2,AR,20959.0
2002,3,AR,22782.0
2002,4,AR,9991.0
2002,5,AR,20497.0
2002,6,AR,5316.0
2002,7,AR,13887.0
2002,8,AR,5211.0
2002,9,AR,24626.0
2002,10,AR,24081.0
2002,11,AR,25731.0
2002,12,AR,103009.0
2003,1,AR,82290.0
2003,2,AR,56311.0
2003,3,AR,29123.0
2003,4,AR,12568.0
2003,5,AR,8754.0
2003,6,AR,25914.0
2003,7,AR,74352.0
2003,8,AR,81322.0
2003,9,AR,24604.0
2003,10,AR,5877.0
2003,11,AR,12966.0
2003,12,AR,77649.0
2004,1,AR,55870.5
2004,2,AR,67067.08
2004,3,AR,105221.62
2004,4,AR,102317.22
2004,5,AR,111063.65
2004,6,AR,54944.73
2004,7,AR,56489.97
2004,8,AR,37279.9
2004,9,AR,66760.97
2004,10,AR,77198.65
2004,11,AR,30590.15
2004,12,AR,96858.89
2005,1,AR,29301.05
2005,2,AR,17310.99
2005,3,AR,21669.35
2005,4,AR,24587.67
2005,5,AR,37529.42
2005,6,AR,30052.0
2005,7,AR,38432.18
