Geographic Area,7 Year Change,Area (Sq. Mi)
United States,16262252,3786884
Alabama,205206,52423
Alaska,46586,656425
Arizona,894204,114006
Arkansas,157079,53182
California,1770853,163707
Colorado,378181,104100
Connecticut,94435,5544
Delaware,76050,1954
District of Columbia,-100,68
Florida,2010876,65758
Georgia,972950,59441
Hawaii,89727,10932
Idaho,185143,83574
Illinois,207421,57918
Indiana,251839,36420
Iowa,67215,56276
Kansas,81623,82282
Kentucky,188540,40411
Louisiana,-102294,51843
Maine,41348,35387
Maryland,278717,12407
Massachusetts,33925,10555
Michigan,10164,96810
Minnesota,224407,86943
Mississippi,75356,48434
Missouri,246470,69709
Montana,57745,147046
Nebraska,63604,77358
Nevada,502673,110567
New Hampshire,57023,9351
New Jersey,185214,8722
New Mexico,158380,121593
New York,49497,54475
North Carolina,907915,53821
North Dakota,13760,70704
Ohio,113064,44828
Oklahoma,167249,69903
Oregon,254480,98386
Pennsylvania,264967,46058
Rhode Island,173,1545
South Carolina,379115,32007
South Dakota,33651,77121
Tennessee,424938,42146
Texas,2512361,268601
Utah,314031,84904
Vermont,11258,9615
Virginia,552638,42769
Washington,475865,71303
West Virginia,32571,24231
Wisconsin,203940,65503
Wyoming,40219,97818
