,Year,State,Population
11,2000,Alabama,4452173
12,2001,Alabama,4467634
13,2002,Alabama,4480089
14,2003,Alabama,4503491
15,2004,Alabama,4530729
16,2005,Alabama,4569805
17,2006,Alabama,4628981
18,2007,Alabama,4672840
19,2008,Alabama,4718206
20,2009,Alabama,4757938
21,2010,Alabama,4785298
22,2000,Alaska,627963
23,2001,Alaska,633714
24,2002,Alaska,642337
25,2003,Alaska,648414
26,2004,Alaska,659286
27,2005,Alaska,666946
28,2006,Alaska,675302
29,2007,Alaska,680300
30,2008,Alaska,687455
31,2009,Alaska,698895
32,2010,Alaska,713985
33,2000,Arizona,5160586
34,2001,Arizona,5273477
35,2002,Arizona,5396255
36,2003,Arizona,5510364
37,2004,Arizona,5652404
38,2005,Arizona,5839077
39,2006,Arizona,6029141
40,2007,Arizona,6167681
41,2008,Arizona,6280362
42,2009,Arizona,6343154
43,2010,Arizona,6413737
44,2000,Arkansas,2678588
45,2001,Arkansas,2691571
46,2002,Arkansas,2705927
47,2003,Arkansas,2724816
48,2004,Arkansas,2749686
49,2005,Arkansas,2781097
50,2006,Arkansas,2821761
51,2007,Arkansas,2848650
52,2008,Arkansas,2874554
53,2009,Arkansas,2896843
54,2010,Arkansas,2921606
55,2000,California,33987977
56,2001,California,34479458
57,2002,California,34871843
58,2003,California,35253159
59,2004,California,35574576
60,2005,California,35827943
61,2006,California,36021202
62,2007,California,36250311
63,2008,California,36604337
64,2009,California,36961229
65,2010,California,37349363
66,2000,Colorado,4326921
67,2001,Colorado,4425687
68,2002,Colorado,4490406
69,2003,Colorado,4528732
70,2004,Colorado,4575013
71,2005,Colorado,4631888
72,2006,Colorado,4720423
73,2007,Colorado,4803868
74,2008,Colorado,4889730
75,2009,Colorado,4972195
76,2010,Colorado,5049071
77,2000,Connecticut,3411777
78,2001,Connecticut,3432835
79,2002,Connecticut,3458749
80,2003,Connecticut,3484336
81,2004,Connecticut,3496094
82,2005,Connecticut,3506956
83,2006,Connecticut,3517460
84,2007,Connecticut,3527270
85,2008,Connecticut,3545579
86,2009,Connecticut,3561807
87,2010,Connecticut,3577073
88,2000,Delaware,786373
89,2001,Delaware,795699
90,2002,Delaware,806169
91,2003,Delaware,818003
92,2004,Delaware,830803
93,2005,Delaware,845150
94,2006,Delaware,859268
95,2007,Delaware,871749
96,2008,Delaware,883874
97,2009,Delaware,891730
98,2010,Delaware,899769
99,2000,District of Columbia,572046
100,2001,District of Columbia,574504
101,2002,District of Columbia,573158
102,2003,District of Columbia,568502
103,2004,District of Columbia,567754
104,2005,District of Columbia,567136
105,2006,District of Columbia,570681
106,2007,District of Columbia,574404
107,2008,District of Columbia,580236
108,2009,District of Columbia,592228
109,2010,District of Columbia,604453
110,2000,Florida,16047515
111,2001,Florida,16356966
112,2002,Florida,16689370
113,2003,Florida,17004085
114,2004,Florida,17415318
115,2005,Florida,17842038
116,2006,Florida,18166990
117,2007,Florida,18367842
118,2008,Florida,18527305
119,2009,Florida,18652644
120,2010,Florida,18843326
121,2000,Georgia,8227303
122,2001,Georgia,8377038
123,2002,Georgia,8508256
124,2003,Georgia,8622793
125,2004,Georgia,8769252
126,2005,Georgia,8925922
127,2006,Georgia,9155813
128,2007,Georgia,9349988
129,2008,Georgia,9504843
130,2009,Georgia,9620846
131,2010,Georgia,9712587
132,2000,Hawaii,1213519
133,2001,Hawaii,1225948
134,2002,Hawaii,1239613
135,2003,Hawaii,1251154
136,2004,Hawaii,1273569
137,2005,Hawaii,1292729
138,2006,Hawaii,1309731
139,2007,Hawaii,1315675
140,2008,Hawaii,1332213
141,2009,Hawaii,1346717
142,2010,Hawaii,1363621
143,2000,Idaho,1299430
144,2001,Idaho,1319962
145,2002,Idaho,1340372
146,2003,Idaho,1363380
147,2004,Idaho,1391802
148,2005,Idaho,1428241
149,2006,Idaho,1468669
150,2007,Idaho,1505105
151,2008,Idaho,1534320
152,2009,Idaho,1554439
153,2010,Idaho,1571450
154,2000,Illinois,12434161
155,2001,Illinois,12488445
156,2002,Illinois,12525556
157,2003,Illinois,12556006
158,2004,Illinois,12589773
159,2005,Illinois,12609903
160,2006,Illinois,12643955
161,2007,Illinois,12695866
162,2008,Illinois,12747038
163,2009,Illinois,12796778
164,2010,Illinois,12843166
165,2000,Indiana,6091866
166,2001,Indiana,6127760
167,2002,Indiana,6155967
168,2003,Indiana,6196638
169,2004,Indiana,6233007
170,2005,Indiana,6278616
171,2006,Indiana,6332669
172,2007,Indiana,6379599
173,2008,Indiana,6424806
174,2009,Indiana,6459325
175,2010,Indiana,6490621
176,2000,Iowa,2929067
177,2001,Iowa,2931997
178,2002,Iowa,2934234
179,2003,Iowa,2941999
180,2004,Iowa,2953635
181,2005,Iowa,2964454
182,2006,Iowa,2982644
183,2007,Iowa,2999212
184,2008,Iowa,3016734
185,2009,Iowa,3032870
186,2010,Iowa,3049883
187,2000,Kansas,2693681
188,2001,Kansas,2702162
189,2002,Kansas,2713535
190,2003,Kansas,2723004
191,2004,Kansas,2734373
192,2005,Kansas,2745299
193,2006,Kansas,2762931
194,2007,Kansas,2783785
195,2008,Kansas,2808076
196,2009,Kansas,2832704
197,2010,Kansas,2859169
198,2000,Kentucky,4049021
199,2001,Kentucky,4068132
200,2002,Kentucky,4089875
201,2003,Kentucky,4117170
202,2004,Kentucky,4146101
203,2005,Kentucky,4182742
204,2006,Kentucky,4219239
205,2007,Kentucky,4256672
