line,MSN,StateCode,Year,Data,Description,Unit,Consume,price,expend,factor,produce,consumet,,
540,ABICB,GA,2000,1.26271,Aviation gasoline blending components consumed by the industrial sector.,Billion Btu,1,,,,,1.26271,,"16,575,513.04"
3207,ABICP,GA,2000,0.25014,Aviation gasoline blending components consumed by the industrial sector.,Thousand barrels,1,,,,,0.25014,,
5807,ARICB,GA,2000,37446.76883,Asphalt and road oil consumed by the industrial sector.,Billion Btu,1,,,,,37446.76883,,
10487,ARICP,GA,2000,5642.973,Asphalt and road oil consumed by the industrial sector.,Thousand barrels,1,,,,,5642.973,,
33887,AVACB,GA,2000,536.98625,Aviation gasoline consumed by the transportation sector.,Billion Btu,1,,,,,536.98625,,
38567,AVACP,GA,2000,106.37604,Aviation gasoline consumed by the transportation sector.,Thousand barrels,1,,,,,106.37604,,
65067,CLACB,GA,2000,0,Coal consumed by the transportation sector.,Billion Btu,1,,,,,0,,
72346,CLACP,GA,2000,0,Coal consumed by the transportation sector.,Thousand short tons,1,,,,,0,,
77026,CLCCB,GA,2000,195.69308,Coal consumed by the commercial sector.,Billion Btu,1,,,,,195.69308,,
81706,CLCCP,GA,2000,7.63174,Coal consumed by the commercial sector.,Thousand short tons,1,,,,,7.63174,,
86386,CLEIB,GA,2000,768276.9157,Coal consumed by the electric power sector.,Billion Btu,1,,,,,768276.9157,,
93666,CLEIP,GA,2000,33150.192,Coal consumed by the electric power sector.,Thousand short tons,1,,,,,33150.192,,
100946,CLICB,GA,2000,51032.93661,Coal consumed by the industrial sector.,Billion Btu,1,,,,,51032.93661,,
105626,CLICP,GA,2000,1990.2089,Coal consumed by the industrial sector.,Thousand short tons,1,,,,,1990.2089,,
110306,CLKCB,GA,2000,0,Coal consumed at coke plants (coking coal).,Billion Btu,1,,,,,0,,
117586,CLKCP,GA,2000,0,Coal consumed at coke plants (coking coal).,Thousand short tons,1,,,,,0,,
122266,CLOCB,GA,2000,51032.93661,Coal consumed by industrial users other than coke plants.,Billion Btu,1,,,,,51032.93661,,
129546,CLOCP,GA,2000,1990.2089,Coal consumed by industrial users other than coke plants.,Thousand short tons,1,,,,,1990.2089,,
134116,CLOSB,GA,2000,50873.24208,Coal consumed by the industrial sector excluding refinery fuel.,Billion Btu,1,,,,,50873.24208,,
144106,CLRCB,GA,2000,24.18682,Coal consumed by the residential sector.,Billion Btu,1,,,,,24.18682,,
148786,CLRCP,GA,2000,0.94325,Coal consumed by the residential sector.,Thousand short tons,1,,,,,0.94325,,
153356,CLRFB,GA,2000,159.69453,Coal consumed as refinery fuel.,Billion Btu,1,,,,,159.69453,,
178426,COICB,GA,2000,0,Crude oil consumed by the industrial sector.,Billion Btu,1,,,,,0,,
181026,COICP,GA,2000,0,Crude oil consumed by the industrial sector.,Thousand barrels,1,,,,,0,,
186226,DFACB,GA,2000,196908.6013,Distillate fuel oil consumed by the transportation sector.,Billion Btu,1,,,,,196908.6013,,
190906,DFACP,GA,2000,33804.05173,Distillate fuel oil consumed by the transportation sector.,Thousand barrels,1,,,,,33804.05173,,
195586,DFCCB,GA,2000,7208.96973,Distillate fuel oil consumed by the commercial sector.,Billion Btu,1,,,,,7208.96973,,
